counter,question-answer,question slots,answer,direct link,direct link str,supporting slots,templates,AQ direction
1,what former basketball played the center (basketball) position? Aleksey Savrasenko,"(['center (basketball)'], ['Q222052'])","('Aleksey Savrasenko', 'Q780630')",['P413'],['position played on team / speciality'],"([('question', 'Q5372')], [['P641']])",['what former _C_ played the _Q_ position? _A_'],[True]
2,where in The United States was John Morris Russell born? Cleveland,"(['John Morris Russell'], ['Q6249503'])","('Cleveland', 'Q37320')",['P19'],['place of birth'],"([('question', 'Q30')], [['P27']])",['where in The _C_ was _Q_ born? _A_'],[False]
3,name a town and Comune in Italy ? Avetrana,"(['Comune'], ['Q747074'])","('Avetrana', 'Q52007')",['P31'],['instance of'],"([('question', 'Q38')], [['P17']])",['name a town and _Q_ in _C_ ? _A_'],[True]
4,which city was shmuel salant born? Białystok,"(['shmuel salant'], ['Q428672'])","('Białystok', 'Q761')",['P19'],['place of birth'],"([('answer', 'Q515')], [['P31']])",['which _C_ was _Q_ born? _A_'],[False]
5,What position does footballer erkan sulejmani play?? midfielder,"(['erkan sulejmani'], ['Q5389642'])","('midfielder', 'Q193592')",['P413'],['position played on team / speciality'],"([('question', 'Q2736')], [['P641']])",['What position does _C_ _Q_ play?? _A_'],[False]
6,Where in Canada was Christine Sinclair born? Burnaby,"(['Christine Sinclair'], ['Q262802'])","('Burnaby', 'Q244025')",['P19'],['place of birth'],"([('question', 'Q16')], [['P27']])",['Where in _C_ was _Q_ born? _A_'],[False]
7,Who is a famous American football player playing cornerback?? Donald Strickland,"(['cornerback'], ['Q869161'])","('Donald Strickland', 'Q5295193')",['P413'],['position played on team / speciality'],"([('question', 'Q41323')], [['P641']])",['Who is a famous American _C_ player playing _Q_?? _A_'],[True]
8,what position does Damir Kreilach play in football? midfielder,"(['Damir Kreilach'], ['Q3499871'])","('midfielder', 'Q193592')",['P413'],['position played on team / speciality'],"([('question', 'Q2736')], [['P641']])",['what position does _Q_ play in _C_? _A_'],[False]
9,which municipality of Puerto Rico is Bobby Valentín Fmor? Orocovis,"(['Bobby Valentín'], ['Q515779'])","('Orocovis', 'Q2624345')",['P19'],['place of birth'],"([('Q1183', 'answer')], [['P150']])",['which municipality of _C_ is _Q_ Fmor? _A_'],[False]
10,Which fictional universe does Arkon appear in?? Marvel Universe,"(['Arkon'], ['Q961019'])","('Marvel Universe', 'Q931597')",['P1080'],['from narrative universe'],"([('answer', 'Q559618')], [['P31']])",['Which _C_ does _Q_ appear in?? _A_'],[False]
11,which record label signed L.A. symphony? Squint Entertainment,"(['L.A. symphony'], ['Q6457208'])","('Squint Entertainment', 'Q7582276')",['P264'],['record label'],"([('answer', 'Q18127')], [['P31']])",['which _C_ signed _Q_? _A_'],[False]
12,what position does Jonathan Tabu play in basketball? point guard,"(['Jonathan Tabu'], ['Q3183476'])","('point guard', 'Q212413')",['P413'],['position played on team / speciality'],"([('question', 'Q5372')], [['P641']])",['what position does _Q_ play in _C_? _A_'],[False]
13,What division is Miami redhawks football a part of in the ncaa? Ncaa Division I,"(['Miami redhawks'], ['Q3422875'])","('Division I', 'Q2842604')",['P118'],['league'],"([('Q271805', 'answer')], [['P527']])",['What division is _Q_ football a part of in the _C_? Ncaa _A_'],[False]
14,in which city did Otto Perutz die?? Munich,"(['Otto Perutz'], ['Q97817'])","('Munich', 'Q1726')",['P20'],['place of death'],"([('answer', 'Q515')], [['P31']])",['in which _C_ did _Q_ die?? _A_'],[False]
15,Name a city in Nepal.? Janakpurdham,"(['city'], ['Q515'])","('Janakpurdham', 'Q378649')",['P31'],['instance of'],"([('answer', 'Q837')], [['P17']])",['Name a _Q_ in _C_.? _A_'],[True]
15,Name a city in Nepal.? Janakpurdham,"(['Nepal'], ['Q837'])","('Janakpurdham', 'Q378649')",['P17'],['country'],"([('answer', 'Q515')], [['P31']])",['Name a _C_ in _Q_.? _A_'],[True]
16,what time zone is Marrakech in?? Western European Time,"(['time zone'], ['Q12143'])","('Western European Time', 'Q843589')",['P31'],['instance of'],"([('Q101625', 'answer')], [['P421']])",['what _Q_ is _C_ in?? _A_'],[True]
16,what time zone is Marrakech in?? Western European Time,"(['Marrakech'], ['Q101625'])","('Western European Time', 'Q843589')",['P421'],['located in time zone'],"([('answer', 'Q12143')], [['P31']])",['what _C_ is _Q_ in?? _A_'],[False]
17,Name an English civil engineer? George Stephenson,"(['English'], ['Q1860'])","('George Stephenson', 'Q133614')",['P1412'],"['languages spoken, written or signed']","([('answer', 'Q13582652')], [['P106']])",['Name an _Q_ _C_? _A_'],[True]
17,Name an English civil engineer? George Stephenson,"(['civil engineer'], ['Q13582652'])","('George Stephenson', 'Q133614')",['P106'],['occupation'],"([('answer', 'Q1860')], [['P1412']])",['Name an _C_ _Q_? _A_'],[True]
18,what British science fiction author and writer specializes in dark hard science fiction and space opera?? Alastair Reynolds,"(['British'], ['Q145'])","('Alastair Reynolds', 'Q380869')",['P27'],['country of citizenship'],"([('answer', 'Q24925')], [['P136']])",['what _Q_ _C_ author and writer specializes in dark hard _C_ and space opera?? _A_'],[True]
18,what British science fiction author and writer specializes in dark hard science fiction and space opera?? Alastair Reynolds,"(['science fiction'], ['Q24925'])","('Alastair Reynolds', 'Q380869')",['P136'],['genre'],"([('answer', 'Q145'), ('Q725757', 'question')], [['P27'], ['P279']])",['what _C_ _Q_ author and writer specializes in dark hard _Q_ and space opera?? _A_'],[True]
19,what boxer is classified within the welterweight category? Carlos Quintana,"(['boxer'], ['Q32112'])","('Carlos Quintana', 'Q1043176')",['P641'],['sport'],"([('answer', 'Q766904')], [['P2416']])",['what _Q_ is classified within the _C_ category? _A_'],[True]
19,what boxer is classified within the welterweight category? Carlos Quintana,"(['welterweight'], ['Q766904'])","('Carlos Quintana', 'Q1043176')",['P2416'],['sports discipline competed in'],"([('answer', 'Q32112')], [['P641']])",['what _C_ is classified within the _Q_ category? _A_'],[True]
20,Which famous cinematographer was born in Los Angeles?? Jordan Cronenweth,"(['cinematographer'], ['Q222344'])","('Jordan Cronenweth', 'Q715198')",['P106'],['occupation'],"([('answer', 'Q65')], [['P19', 'P20']])",['Which famous _Q_ was born in _C_?? _A_'],[True]
20,Which famous cinematographer was born in Los Angeles?? Jordan Cronenweth,"(['Los Angeles'], ['Q65'])","('Jordan Cronenweth', 'Q715198')",['P19'],['place of birth'],"([('answer', 'Q222344')], [['P106']])",['Which famous _C_ was born in _Q_?? _A_'],[True]
21,what is a city located in transnistria? Rîbnița,"(['city'], ['Q515'])","('Rîbnița', 'Q216363')",['P31'],['instance of'],"([('answer', 'Q907112')], [['P17']])",['what is a _Q_ located in _C_? _A_'],[True]
21,what is a city located in transnistria? Rîbnița,"(['transnistria'], ['Q907112'])","('Rîbnița', 'Q216363')",['P17'],['country'],"([('answer', 'Q515')], [['P31']])",['what is a _C_ located in _Q_? _A_'],[True]
22,what electronic instrument does Lyle Mays play ? synthesizer,"(['electronic instrument'], ['Q1327500'])","('synthesizer', 'Q163829')",['P279'],['subclass of'],"([('Q963426', 'answer')], [['P1303']])",['what _Q_ does _C_ play ? _A_'],[True]
22,what electronic instrument does Lyle Mays play ? synthesizer,"(['Lyle Mays'], ['Q963426'])","('synthesizer', 'Q163829')",['P1303'],['instrument'],"([('answer', 'Q1327500')], [['P279']])",['what _C_ does _Q_ play ? _A_'],[False]
