Counter,Original QA,Created template,AQ-relation direction,First placeholder type,Found relation,Second placeholder type,Constraint relation,Example 1 expansion,Example 2 expansion
1,what character did Natalie Portman play in star wars? Padmé Amidala,what character did _Q_ play in star wars? _A_,True,fictional human,performer,human,No constraint relation,what character did Brock Peters play in star wars? Lucius Fox,what character did Martin Freeman play in star wars? Dr. John Watson
3,what country is the grand bahama island in? Bahamas,what country is the _Q_ in? _A_,False,island,country,country,No constraint relation,what country is the Princess Royal Island in? Canada,what country is the Tobishima in? Japan
4,what kind of money to take to Bahamas? Bahamian dollar,what kind of money to take to _Q_? _A_,False,sovereign state,currency,currency,No constraint relation,what kind of money to take to Samoa? Samoan tālā,what kind of money to take to Solomon Islands? Solomon Islands dollar
5,what character did john noble play in lord of the rings? Denethor Ii,what character did _Q_ play in lord of the rings? _A_,True,men in Tolkien's legendarium,performer,human,No constraint relation,what character did Maxim Baldry play in lord of the rings? Isildur,what character did Harry Sinclair play in lord of the rings? Isildur
6,who does Joakim Noah play for? Chicago Bulls,who does _Q_ play for? _A_,False,human,member of sports team,basketball team,No constraint relation,who does Miro Bilan play for? ASVEL Basket,who does Joe Stephens play for? ASVEL Basket
12,who did the Philippines gain independence from? United States Of America,who did the _Q_ gain independence from? _A_,False,country,diplomatic relation,sovereign state,No constraint relation,who did the Canada gain independence from? Sweden,who did the Canada gain independence from? Lithuania
14,who is the prime minister of Ethiopia? Hailemariam Desalegn,who is the prime minister of _Q_? _A_,True,['human'],country of citizenship,"['landlocked country', 'country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
15,what high school did president Bill Clinton attend? Hot Springs High School,what high school did president _Q_ attend? _A_,False,human,educated at,high school,No constraint relation,what high school did president Bill Cunliffe attend? Phillips Academy,what high school did president George R. Carter attend? Phillips Academy
18,what did the German revolution lead to? German Democratic Republic,what did the _Q_ lead to? _A_,False,historical event,country,historical country,No constraint relation,what did the Alsace-Lorraine Soviet Republic lead to? Weimar Republic,what did the 1981 protests in Kosovo lead to? Yugoslavia
22,what is the president of Brazil? Dilma Rousseff,what is the president of _Q_? _A_,True,['human'],country of citizenship,"['secular state', 'country', 'sovereign state', 'federal republic', 'Rechtsstaat']",No constraint relation,Search space issue,Search space issue
25,what is medicare a? Centers for Medicare and Medicaid Services,what is _Q_ a? Centers for Medicare and _A_ Services,False,government program,different from,government program,No constraint relation,what is High Intensity Drug Trafficking Area a? Centers for Medicare and Organized Crime Drug Enforcement Task Forces Services,what is Paycheck Protection Program a? Centers for Medicare and Shuttered Venue Operators Grant Services
27,what season did tony soprano get shot? The Sopranos,what season did _Q_ get shot? _A_,False,fictional human,present in work,television series,No constraint relation,what season did Donna Noble get shot? Doctor Who,what season did Sarah Jane Smith get shot? Doctor Who
28,where do the San Francisco giants play home games? At&T Park,where do the _Q_ play home games? _A_,False,baseball team,home venue,stadium,No constraint relation,where do the Florida Complex League Orioles play home games? Ed Smith Stadium,where do the Fort Worth Cats play home games? Lon Goldstein Field
32,where to exchange euros in Pittsburgh? Allegheny County,where to exchange euros in _Q_? _A_ County,False,big city,located in or next to body of water,river,No constraint relation,where to exchange euros in Milton Keynes? River Great Ouse County,where to exchange euros in Hamburg? Alster County
33,when is summer in Australia Sydney? City of Sydney,when is summer in _Q_ _A_? City of _A_,True,city,country,country,No constraint relation,when is summer in Germany Friedrichshafen? City of Friedrichshafen,when is summer in Germany Friedrichshafen? City of Friedrichshafen
36,what college did Matt Lauer attend? Ohio University,what college did _Q_ attend? _A_,False,['human'],educated at,"['public educational institution of the United States', 'university']",No constraint relation,Search space issue,Search space issue
42,what sea does The Yangtze River flow into? East China Sea,what sea does The _Q_ flow into? _A_,False,river,mouth of the watercourse,marginal sea,No constraint relation,what sea does The Koyda flow into? White Sea,what sea does The Hai River flow into? Bohai Sea
43,who Miley Cyrus engaged to? Liam Hemsworth,who _Q_ engaged to? _A_,False,['human'],unmarried partner,['human'],No constraint relation,Search space issue,Search space issue
47,where do the ny rangers play? Madison Square Garden,where do the _Q_ play? _A_,False,ice hockey team,home venue,multi-purpose hall,No constraint relation,where do the Edmonton Oilers play? Rogers Place,where do the Tappara play? Tampere Deck Arena
50,when will oscar pistorius compete? 2012 Summer Olympics,when will _Q_ compete? _A_,False,human,participant in,Summer Olympic Games,No constraint relation,when will Antelothanasis compete? 1896 Summer Olympics,when will Antonios Papagiannou compete? 1896 Summer Olympics
53,what is the best currency to take to egypt 2013? Egyptian pound,what is the best _Q_ to take to egypt 2013? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
56,what countries did queen victoria reign over? United Kingdom,what countries did _Q_ reign over? _A_,False,human,country of citizenship,historical country,No constraint relation,what countries did Jakob Gunnstveit reign over? Union between Sweden and Norway,what countries did Jens Christian Ferdinand Birch reign over? Union between Sweden and Norway
58,who plays meg in family guy? Mila Kunis,who plays _Q_ in family guy? _A_,False,fictional human,voice actor,human,No constraint relation,who plays Ran Mouri in family guy? Núria Trifol,who plays Ran Mouri in family guy? Lee Hyeon-jin
59,what high school did Tim Allen go to? Seaholm High School,what high school did _Q_ go to? _A_,False,human,educated at,high school,No constraint relation,what high school did Francis Burr go to? Phillips Academy,what high school did Franz J. Ingelfinger go to? Phillips Academy
60,what is the world's tallest building in Dubai called? Burj Khalifa,what is the world's tallest building in _Q_ called? _A_,True,skyscraper,located in the administrative territorial entity,big city,No constraint relation,what is the world's tallest building in Mexico City called? Torre Ejecutiva Pemex,what is the world's tallest building in São Paulo called? Andraus Building
62,who is the current president of The Dominican Republic in 2010? Leonel Fernández,who is the current president of The _Q_ in 2010? _A_,True,['human'],country of citizenship,"['archipelagic state', 'island nation', 'country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
