counter,question-answer,question slots,answer,direct link,direct link str,supporting slots,templates,AQ direction
4,Who was the next British Prime Minister after Arthur Balfour? Henry Campbell-Bannerman,"(['British Prime Minister'], ['Q14211'])","('Henry Campbell-Bannerman', 'Q106618')",['P39'],['position held'],"([('Q19008', 'question')], [['P39']])",['Who was the next _Q_ after Arthur _C_? _A_\n'],[True]
13,Which volcano in Tanzania is the highest mountain in Africa? Mount Kilimanjaro,"(['Tanzania'], ['Q924'])","('Kilimanjaro', 'Q7296')",['P150'],['contains administrative territorial entity'],"([('question', 'Q15')], [['P30']])",['Which volcano in _Q_ is the highest mountain in _C_? Mount _A_\n'],[False]
13,Which volcano in Tanzania is the highest mountain in Africa? Mount Kilimanjaro,"(['Africa'], ['Q15'])","('Kilimanjaro', 'Q7296')",['P30'],['continent'],"([('Q924', 'question')], [['P30']])",['Which volcano in _C_ is the highest mountain in _Q_? Mount _A_\n'],[True]
62,Who was the first Us-born winner of golf's British Open? Walter Hagen,"(['golf'], ['Q5377'])","('Walter Hagen', 'Q949410')",['P641'],['sport'],"([('Q848797', 'question')], [['P641']])","[""Who was the first Us-born winner of _Q_'s _C_? _A_\n""]",[True]
84,Who set fire to his guitar at the Monterey Pop festival in 19676? Jimi Hendrix,"(['guitar'], ['Q6607'])","('Jimi Hendrix', 'Q5928')",['P1303'],['instrument'],"([('answer', 'Q203159')], [['P1344']])",['Who set fire to his _Q_ at the _C_ in 19676? _A_\n'],[True]
84,Who set fire to his guitar at the Monterey Pop festival in 19676? Jimi Hendrix,"(['Monterey Pop festival'], ['Q203159'])","('Jimi Hendrix', 'Q5928')",['P1344'],['participant in'],"([('answer', 'Q6607')], [['P1303']])",['Who set fire to his _C_ at the _Q_ in 19676? _A_\n'],[True]
89,In which American state is the Isabella Stewart Gardner Museum? Massachusetts,"(['American'], ['Q30'])","('Massachusetts', 'Q771')",['P150'],['contains administrative territorial entity'],"([('Q49135', 'question')], [['P17']])",['In which _Q_ state is the _C_? _A_\n'],[False]
101,Which Swedish actress won the Best Supporting Actress Oscar for Murder on The Orient Express? Ingrid Bergman,"(['Swedish'], ['Q34'])","('Ingrid Bergman', 'Q43247')",['P27'],['country of citizenship'],"([('Q106301', 'answer')], [['P1346']])",['Which _Q_ actress won the _C_ for Murder on The Orient Express? _A_\n'],[True]
101,Which Swedish actress won the Best Supporting Actress Oscar for Murder on The Orient Express? Ingrid Bergman,"(['Best Supporting Actress Oscar'], ['Q106301'])","('Ingrid Bergman', 'Q43247')",['P1346'],['winner'],"([('answer', 'Q34')], [['P27']])",['Which _C_ actress won the _Q_ for Murder on The Orient Express? _A_\n'],[False]
104,Which much-loved actor won the Best Actor Oscar for The Philadelphia Story? James Stewart,"(['Best Actor'], ['Q103916'])","('James Stewart', 'Q102462')",['P1346'],['winner'],"([('question', 'Q19020'), ('Q498822', 'question')], [['P31'], ['P1411', 'P166']])",['Which much-loved actor won the _Q_ _C_ for The Philadelphia Story? _A_\n'],[False]
104,Which much-loved actor won the Best Actor Oscar for The Philadelphia Story? James Stewart,"(['Oscar'], ['Q19020'])","('James Stewart', 'Q102462')",['P166'],['award received'],"([('question', 'Q103916'), ('Q498822', 'answer')], [['P527'], ['P161']])",['Which much-loved actor won the Best Actor _Q_ for _C_? _A_\n'],[True]
104,Which much-loved actor won the Best Actor Oscar for The Philadelphia Story? James Stewart,"(['The Philadelphia Story'], ['Q498822'])","('James Stewart', 'Q102462')",['P161'],['cast member'],"([('question', 'Q103916'), ('answer', 'Q19020')], [['P1411', 'P166'], ['P166']])",['Which much-loved actor won the _C_ Oscar for _Q_? _A_\n'],[False]
106,What was the name of the brothel in The Best Little Whorehouse in Texas? Chicken Ranch,"(['brothel'], ['Q131295'])","('Chicken Ranch', 'Q1072183')",['P31'],['instance of'],"([('answer', 'Q1439')], [['P131']])",['What was the name of the _Q_ in The Best Little Whorehouse in _C_? _A_\n'],[True]
106,What was the name of the brothel in The Best Little Whorehouse in Texas? Chicken Ranch,"(['Texas'], ['Q1439'])","('Chicken Ranch', 'Q1072183')",['P131'],['located in the administrative territorial entity'],"([('answer', 'Q131295')], [['P31']])",['What was the name of the _C_ in The Best Little Whorehouse in _Q_? _A_\n'],[True]
139,Which Us president won the Nobel Peace Prize in 1920? Woodrow Wilson,"(['Us president'], ['Q11696'])","('Woodrow Wilson', 'Q34296')",['P39'],['position held'],"([('Q35637', 'answer')], [['P1346']])",['Which _Q_ won the _C_ in 1920? _A_\n'],[True]
139,Which Us president won the Nobel Peace Prize in 1920? Woodrow Wilson,"(['Nobel Peace Prize'], ['Q35637'])","('Woodrow Wilson', 'Q34296')",['P1346'],['winner'],"([('answer', 'Q11696')], [['P39']])",['Which _C_ won the _Q_ in 1920? _A_\n'],[False]
