counter,question-answer,question slots,answer,direct link,direct link str,supporting slots,templates,AQ direction
9,what time zone am i in Cleveland Ohio? North American Eastern Time Zone,"(['time zone'], ['Q12143'])","('North American Eastern Time', 'Q941023')",['P31'],['instance of'],"([('Q37320', 'answer'), ('Q1397', 'answer')], [['P421'], ['P421']])",['what _Q_ am i in _C_ Ohio? _A_ Zone\n'],[True]
9,what time zone am i in Cleveland Ohio? North American Eastern Time Zone,"(['Cleveland'], ['Q37320'])","('North American Eastern Time', 'Q941023')",['P421'],['located in time zone'],"([('answer', 'Q12143'), ('Q1397', 'answer')], [['P31'], ['P421']])",['what time zone am i in _Q_ _C_? _A_ Zone\n'],[False]
9,what time zone am i in Cleveland Ohio? North American Eastern Time Zone,"(['Ohio'], ['Q1397'])","('North American Eastern Time', 'Q941023')",['P421'],['located in time zone'],"([('answer', 'Q12143'), ('Q37320', 'answer')], [['P31'], ['P421']])",['what _C_ am i in Cleveland _Q_? _A_ Zone\n'],[False]
38,what time zone am i in Michigan? North American Eastern Time Zone,"(['time zone'], ['Q12143'])","('North American Eastern Time', 'Q941023')",['P31'],['instance of'],"([('Q1166', 'answer')], [['P421']])",['what _Q_ am i in _C_? _A_ Zone\n'],[True]
38,what time zone am i in Michigan? North American Eastern Time Zone,"(['Michigan'], ['Q1166'])","('North American Eastern Time', 'Q941023')",['P421'],['located in time zone'],"([('answer', 'Q12143')], [['P31']])",['what _C_ am i in _Q_? _A_ Zone\n'],[False]
75,what currency does Ontario Canada use? Canadian dollar,"(['currency'], ['Q8142'])","('Canadian dollar', 'Q1104069')",['P31'],['instance of'],"([('Q1904', 'answer'), ('Q16', 'answer')], [['P38'], ['P38']])",['what _Q_ does _C_ Canada use? _A_\n'],[True]
75,what currency does Ontario Canada use? Canadian dollar,"(['Ontario'], ['Q1904'])","('Canadian dollar', 'Q1104069')",['P38'],['currency'],"([('answer', 'Q8142'), ('question', 'Q16')], [['P31'], ['P131', 'P17']])",['what currency does _Q_ _C_ use? _A_\n'],[False]
75,what currency does Ontario Canada use? Canadian dollar,"(['Canada'], ['Q16'])","('Canadian dollar', 'Q1104069')",['P38'],['currency'],"([('answer', 'Q8142'), ('question', 'Q1904')], [['P31'], ['P150']])",['what _C_ does Ontario _Q_ use? _A_\n'],[False]
124,during what war did Abraham Lincoln serve as president? American Civil War,"(['Abraham'], ['Q91'])","('Civil War', 'Q8676')",['P607'],['conflict'],"([('Q91', 'answer')], [['P607']])",['during what war did _Q_ _C_ serve as president? American _A_\n'],[False]
124,during what war did Abraham Lincoln serve as president? American Civil War,"(['Lincoln'], ['Q91'])","('Civil War', 'Q8676')",['P607'],['conflict'],"([('Q91', 'answer')], [['P607']])",['during what war did _C_ _Q_ serve as president? American _A_\n'],[False]
133,what County is Novato California in? Marin County,"(['Novato'], ['Q851004'])","('Marin County', 'Q108117')",['P131'],['located in the administrative territorial entity'],"([('Q99', 'answer')], [['P150']])",['what County is _Q_ _C_ in? _A_\n'],[False]
